Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[growth condition]	Characteristics[sintering temperature]	Unit[temperature unit]	Term Source REF	Term Accession Number	Characteristics[etching process]	Provider	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[sintering temperature]	Unit[temperature unit]	Term Source REF	Term Accession Number
7509379059_E	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.5 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.5 M NaOH_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379059_E	P-MTAB-79116	7509379059_E:biotin	biotin	P-MTAB-79117	7509379059_E:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379059_I	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	0.5 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_0.5 M NaOH_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379059_I	P-MTAB-79116	7509379059_I:biotin	biotin	P-MTAB-79117	7509379059_I:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379018_L	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	1 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_1 M NaOH_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379018_L	P-MTAB-79116	7509379018_L:biotin	biotin	P-MTAB-79117	7509379018_L:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379050_G	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	1 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_1 M NaOH_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_G	P-MTAB-79116	7509379050_G:biotin	biotin	P-MTAB-79117	7509379050_G:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379050_J	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	polylactic acid hydroxyapatite composite	not applicable	  	  	  	1 M NaOH	Xpand Biotechnology	cell	MG-63_PLA/nCaP_Xpand Biotechnology_1 M NaOH_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_J	P-MTAB-79116	7509379050_J:biotin	biotin	P-MTAB-79117	7509379050_J:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	polylactic acid hydroxyapatite composite	not applicable	  	    	        
7509379018_G	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti_LayerWise (3D Systems Leuven)_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379018_G	P-MTAB-79116	7509379018_G:biotin	biotin	P-MTAB-79117	7509379018_G:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium	not applicable	  	    	        
7509379050_F	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti_LayerWise (3D Systems Leuven)_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_F	P-MTAB-79116	7509379050_F:biotin	biotin	P-MTAB-79117	7509379050_F:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium	not applicable	  	    	        
7509379052_F	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti_LayerWise (3D Systems Leuven)_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_F	P-MTAB-79116	7509379052_F:biotin	biotin	P-MTAB-79117	7509379052_F:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium	not applicable	  	    	        
7509379018_C	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium with octacalcium phosphate coating	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti-OCP_LayerWise (3D Systems Leuven)_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379018_C	P-MTAB-79116	7509379018_C:biotin	biotin	P-MTAB-79117	7509379018_C:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium with octacalcium phosphate coating	not applicable	  	    	        
7509379018_K	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium with octacalcium phosphate coating	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti-OCP_LayerWise (3D Systems Leuven)_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379018_K	P-MTAB-79116	7509379018_K:biotin	biotin	P-MTAB-79117	7509379018_K:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium with octacalcium phosphate coating	not applicable	  	    	        
7509379052_I	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	porous titanium with octacalcium phosphate coating	not applicable	  	  	  	chemical and heat treatment	LayerWise (3D Systems Leuven)	cell	MG-63_Ti-OCP_LayerWise (3D Systems Leuven)_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_I	P-MTAB-79116	7509379052_I:biotin	biotin	P-MTAB-79117	7509379052_I:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	porous titanium with octacalcium phosphate coating	not applicable	  	    	        
7509379016_C	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=80;TCP=20_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379016_C	P-MTAB-79116	7509379016_C:biotin	biotin	P-MTAB-79117	7509379016_C:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
7509379022_I	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=60;TCP=40_rep1	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379022_I	P-MTAB-79116	7509379022_I:biotin	biotin	P-MTAB-79117	7509379022_I:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
7509379050_B	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=70;TCP=30_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379050_B	P-MTAB-79116	7509379050_B:biotin	biotin	P-MTAB-79117	7509379050_B:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
7509379052_B	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=60;TCP=40_rep3	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_B	P-MTAB-79116	7509379052_B:biotin	biotin	P-MTAB-79117	7509379052_B:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
7509379052_C	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=80;TCP=20_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_C	P-MTAB-79116	7509379052_C:biotin	biotin	P-MTAB-79117	7509379052_C:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
7509379052_E	Homo sapiens	bone	fibroblast	MG-63 cell	osteosarcoma	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027	not applicable	CAM Bioceramics	cell	MG-63_BCP 1150_CAM Bioceramics_HA=70;TCP=30_rep2	P-MTAB-79114	P-MTAB-79119	P-MTAB-79120	P-MTAB-79122	P-MTAB-79115	7509379052_E	P-MTAB-79116	7509379052_E:biotin	biotin	P-MTAB-79117	7509379052_E:biotin	array assay	A-MEXP-2087	ArrayExpress	P-MTAB-79118	StudyID_010_Raw_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.raw.1.zip	P-MTAB-79121	StudyID_010_Processed_data_matrix_file.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7219/E-MTAB-7219.processed.1.zip	biphasic calcium phosphate	1150	degree celsius	EFO	UO_0000027
